0.0182, [[0.0, 0.0, 0.77451863265305], [0.9439891408976124, 0.0, 0.0], [0.6235849294363869, 0.0, 0.0], [0.0, 0.0, 0.726798908163276], [0.8460962880519779, 0.0, 0.0], [0.0, 0.0, 0.0], [0.7106200813397331, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0253, [[0.0, 0.0, 0.7088796124876242], [0.003536107114300385, 1.0, 0.0], [0.01574409596129382, 0.8154622923517695, 0.0], [0.0, 0.0, 0.5874201397423158], [0.581578950302329, 0.0, 0.0], [0.0, 0.0, 0.569454046580764], [0.0, 0.0, 0.15164292316925163], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0636, [[0.0, 0.0, 0.9999840306122398], [0.09446457576771697, 0.8671227725008085, 0.0], [1.0, 0.0, 0.0], [0.7471942305378464, 0.2039920395693993, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.0, 0.952088397790043, 0.0], [0.0, 0.0, 0.726798908163276], [0.581578950302329, 0.0, 0.0], [0.684573065076691, 0.0, 0.0], [0.17613181150274165, 0.0, 0.0]]
0.0583, [[0.0, 0.0, 0.77451863265305], [1.0, 0.0, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [0.003536107114300385, 1.0, 0.0], [0.0, 0.0, 0.23745358807587913], [0.0, 0.0, 0.19417137669374396], [0.5848286467423464, 0.0, 0.0], [0.2763215130745655, 0.0, 0.0], [0.006061897910222667, 0.0, 0.0]]
0.0342, [[0.7471942305378464, 0.2039920395693993, 0.0], [0.0, 0.0, 0.5874201397423158], [1.0, 0.0, 0.0], [0.6235849294363869, 0.0, 0.0], [0.0, 0.0, 0.44630586323089594], [0.7106200813397331, 0.0, 0.0], [0.684573065076691, 0.0, 0.0], [0.0, 0.0, 0.23745358807587913], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0563, [[0.0, 0.0, 0.9999840306122398], [0.576057279944291, 0.44325884201337734, 0.0], [0.003536107114300385, 1.0, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [0.0, 0.0, 0.77451863265305], [0.17613181150274165, 0.0, 0.0], [0.01574409596129382, 0.8154622923517695, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0564, [[0.003536107114300385, 1.0, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.581578950302329, 0.0, 0.0], [0.0, 0.0, 0.9999840306122398], [0.0, 0.0, 0.15164292316925163], [0.01574409596129382, 0.8154622923517695, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0558, [[0.0, 0.0, 0.9999840306122398], [0.0, 0.952088397790043, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [0.0, 0.0, 0.77451863265305], [0.0, 0.0, 0.4396180584737197], [0.17613181150274165, 0.0, 0.0], [0.01574409596129382, 0.8154622923517695, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0641, [[0.0, 0.0, 0.9999840306122398], [0.003536107114300385, 1.0, 0.0], [0.09446457576771697, 0.8671227725008085, 0.0], [1.0, 0.0, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.7471942305378464, 0.2039920395693993, 0.0], [0.0, 0.0, 0.5874201397423158], [0.0, 0.952088397790043, 0.0], [0.01574409596129382, 0.8154622923517695, 0.0], [0.9439891408976124, 0.0, 0.0]]
0.0564, [[0.003536107114300385, 1.0, 0.0], [0.0, 0.0, 0.9999840306122398], [0.09446457576771697, 0.8671227725008085, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.581578950302329, 0.0, 0.0], [0.0, 0.0, 0.569454046580764], [0.01574409596129382, 0.8154622923517695, 0.0], [0.17613181150274165, 0.0, 0.0], [0.0, 0.0, 0.4396180584737197], [0.0, 0.033087180680836145, 0.0]]
0.0615, [[0.0, 0.0, 0.9999840306122398], [0.09446457576771697, 0.8671227725008085, 0.0], [0.576057279944291, 0.44325884201337734, 0.0], [0.7471942305378464, 0.2039920395693993, 0.0], [0.0, 0.0, 0.77451863265305], [0.01574409596129382, 0.8154622923517695, 0.0], [0.17613181150274165, 0.0, 0.0], [0.0, 0.0, 0.7088796124876242], [0.003536107114300385, 1.0, 0.0], [0.0, 0.0, 0.15164292316925163]]
