0.1281, [[0.0, 0.0, 0.9999996317392283], [0.9570051187977302, 0.9966764634890879, 0.0], [0.0, 0.0, 0.9932865324836456], [0.9601850018069822, 0.9842132015731702, 0.0], [0.0, 0.0, 0.9900697009925558], [0.9790393563698803, 0.8537643935198997, 0.0], [0.9710129635651759, 0.9052792094390247, 0.0], [0.9575265787124305, 0.875367380840823, 0.0], [0.9562484906862037, 0.9493160682086021, 0.0], [0.9581707350776492, 0.7623671394698366, 0.0]]
0.1200, [[0.9327009968910012, 0.9526396047195124, 0.0], [0.9498784999634893, 0.685792495850726, 0.0], [0.0, 0.0, 0.9900085697044895], [0.9403388509357327, 0.6746347439676331, 0.0], [0.0, 0.0, 0.9763977988946541], [0.9379155960380063, 0.6795809638745711, 0.0], [0.0, 0.0, 0.8976470382570354], [0.900043291644854, 0.7590436029589245, 0.0], [0.9080799091537679, 0.6495585593231564, 0.0], [0.0, 0.0, 0.8946819157048372]]
0.1259, [[0.993210796404683, 0.6854474107409397, 0.0], [0.0, 0.0, 0.9872284218362279], [0.9790393563698803, 0.8537643935198997, 0.0], [0.9582729821197473, 0.9667646348908862, 0.0], [0.0, 0.0, 0.961362816377171], [0.9382939100937697, 0.7091905552952537, 0.0], [0.9498784999634893, 0.685792495850726, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.9277011165324021, 0.7067276591777664, 0.0]]
0.1209, [[0.0, 0.0, 0.9948003052109178], [0.9327009968910012, 0.9526396047195124, 0.0], [0.9578639939513547, 0.7798157061521207, 0.0], [0.0, 0.006470117334919319, 0.0], [0.0, 0.0, 0.9900085697044895], [0.9382939100937697, 0.7091905552952537, 0.0], [0.9375372819822432, 0.7374406156380012, 0.0], [0.9344187471982499, 0.749903877553919, 0.0], [0.9230897749337754, 0.769014212491659, 0.0], [0.0, 0.08943985727682349, 0.0]]
0.1184, [[1.0, 0.8213599125385129, 0.0], [0.0, 0.0, 0.9763977988946541], [0.994877423190883, 0.8878306427567407, 0.0], [0.20403054628364142, 0.10580544818279572, 0.0], [0.9968814652160065, 0.6945346519653142, 0.0], [0.0, 0.0, 0.0], [0.9922292248005409, 0.7073028010274103, 0.0], [0.9876076584977047, 0.8280069855603354, 0.0], [0.0, 0.0, 0.0], [0.9841926072916269, 0.7881245474293992, 0.0]]
0.1248, [[0.0, 0.0, 0.9936998683735622], [0.9582729821197473, 0.9667646348908862, 0.0], [0.9790393563698803, 0.8537643935198997, 0.0], [0.0, 0.0, 0.9904842153169412], [0.9562484906862037, 0.9493160682086021, 0.0], [0.9578639939513547, 0.7798157061521207, 0.0], [0.0, 0.0, 0.9900085697044895], [0.9279465094334374, 0.8113893030057785, 0.0], [0.9375577313906629, 0.7432568045320946, 0.0], [0.9382939100937697, 0.7091905552952537, 0.0]]
0.1284, [[0.0, 0.0, 0.9904842153169412], [0.9790393563698803, 0.8537643935198997, 0.0], [0.0, 0.0, 0.9872284218362279], [0.9710129635651759, 0.9052792094390247, 0.0], [0.0, 0.0, 0.9835238657793817], [0.9582729821197473, 0.9667646348908862, 0.0], [0.9621685944236864, 0.7989260410898608, 0.0], [0.0, 0.0, 0.9808326160613576], [0.9579764656976626, 1.0, 0.0], [0.9575265787124305, 0.875367380840823, 0.0]]
0.1245, [[0.9582729821197473, 0.9667646348908862, 0.0], [0.0, 0.0, 0.9936998683735622], [0.9332020073972822, 0.983382317445443, 0.0], [0.9375372819822432, 0.7374406156380012, 0.0], [0.0, 0.0, 0.9932865324836456], [0.8957080170598923, 0.6932693398960975, 0.0], [0.0, 0.0, 0.9900085697044895], [0.0, 0.0, 0.9739069566884726], [0.5897848671022436, 0.5180719616344378, 0.0], [0.595388005009222, 0.517049959588078, 0.0]]
0.0960, [[0.9437027786207617, 0.7071877726574813, 0.0], [0.0, 0.0, 0.9999996317392283], [0.896883858044021, 0.7199920489557153, 0.0], [0.9498784999634893, 0.685792495850726, 0.0], [0.0, 0.0, 0.9948003052109178], [0.9346436906908657, 0.6776254815857818, 0.0], [0.0, 0.0, 0.9870741205729753], [0.9106974334314804, 0.674174630487918, 0.0], [0.0, 0.0, 0.9834496980600043], [0.8406479848900416, 0.6551949494496673, 0.0]]
0.0903, [[0.0, 0.0, 0.9936998683735622], [0.8996138540680416, 0.7036218931896889, 0.0], [0.0, 0.0, 0.9863258883374687], [0.0, 0.0, 0.9797774752988945], [0.0, 0.0, 0.9583514007444168], [0.8682240121439112, 0.660256197726534, 0.0], [0.8545126837985498, 0.6693434389509088, 0.0], [0.8610360450844117, 0.644267254306432, 0.0], [0.8596148111992474, 0.6465678217050077, 0.0], [0.8549727954879915, 0.6466828500749365, 0.0]]
0.1247, [[0.0, 0.0, 0.9999996317392283], [0.9876076584977047, 0.8280069855603354, 0.0], [0.9327009968910012, 0.9526396047195124, 0.0], [0.9988650578327107, 0.7316244267439059, 0.0], [0.0, 0.0, 0.9948003052109178], [0.9375372819822432, 0.7374406156380012, 0.0], [0.9922292248005409, 0.7073028010274103, 0.0], [0.9968814652160065, 0.6945346519653142, 0.0], [0.0, 0.0, 0.9835238657793817], [0.9915339449142737, 0.7038519499295465, 0.0]]
