mean:0.760808,,,,,,,,,,,,,,,,,,,,
0.025, [[0.13391529926091947, 0.007048251038205982], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.4915, [[0.9061771013556185, 0.3885319561883897], [0.3632, 0.002778756229235945], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0134, [[0.0, 0.034300208264119614], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1565, [[0.8200028085789856, 0.07007582110259253], [0.281633549048575, 0.012416499584717636], [0.0, 0.00843212043189372], [0.0, 0.007754390365448585], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.01, [[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.0989, [[0.3632, 0.1134886874771822], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.08, [[0.5454651060264832, 0.007032354443521611], [0.3632, 0.03049305253322264], [0.0, 0.002124005398671206], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0872, [[0.8913897966779729, 0.9932949920844318], [0.9015879378349712, 0.22063811902154107], [0.7004700444355236, 0.9385441512752856], [0.7004700444355236, 0.9385441512752856], [0.8117752214806099, 0.7637244503078282], [0.7586396681210352, 0.6892932476190408], [0.7960999442077351, 0.7214611152154798], [0.3632, 0.017751066237541628], [0.7695892443441898, 0.2779480803212847], [0.7593240166349818, 0.4318703158086889]]
0.7571, [[0.7689048958302431, 0.7185779349164456], [0.8111010160065083, 0.3815552705366925], [0.8613052802648254, 0.37560107119386654], [0.7073135295749956, 0.5973608666666611], [0.7261331137085434, 0.4427372051843732], [0.8648746296697739, 0.34705626542533746], [0.6556452167719842, 0.4127331767068272], [0.8373396485458806, 0.29564501971522456], [0.3632, 0.25506816575392516], [0.3632, 0.24140251734209583]]
0.0571, [[0.3632, 0.023310310008305697], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1.0072, [[1.0, 0.3004063183643668], [0.9219842201489675, 0.5244109716312066], [0.8811916555209747, 0.5864397428571458], [0.6689900127939532, 0.8818716385224279], [0.875072770826772, 0.8280809613016701], [0.9841928812066556, 0.1639852438846302], [0.7124461434295996, 0.7070519375549682], [0.7452948720990662, 0.5605874432624123], [0.7028652642343381, 0.5221636595744682], [0.7846384511479986, 0.5043108475177294]]
0.1249, [[0.5399903179149075, 0.03444870764119603], [0.3632, 0.11840851113545153], [0.3632, 0.10199166119021635], [0.3632, 0.10199166119021635], [0.3632, 0.005713173172757555], [0.20271942701372433, 0.024337450373754208], [0.3632, 0.0045118785299003185], [0.012876201050882155, 0.022833097383720958], [0.1959794308256955, 0.0], [0.0, 0.002225208471760794]]
