0.1880, [[0.8936753453019453, 0.0], [0.0, 0.8859121696574218], [0.0, 0.8859121696574218], [0.0, 0.7966723342939479], [0.0, 0.734564553314121], [0.8763584618444641, 0.0], [0.0, 0.759504610951007], [0.8518093814328141, 0.0], [0.0, 0.7554394812680103], [0.5854351764394536, 0.0]]
0.1860, [[1.0, 0.0], [0.0, 0.0], [0.0, 0.759504610951007], [0.0, 0.0], [0.979780140452724, 0.0], [0.0, 0.0], [0.0, 0.7554394812680103], [0.9648361244077887, 0.0], [0.0, 0.0], [0.0, 0.7376334293948128]]
0.1313, [[0.0, 0.0], [0.0, 0.8184057636887625], [0.1738745381433266, 0.0], [0.0, 0.0], [0.10783534456026617, 0.0], [0.026948708747956872, 0.0], [0.08020487959746658, 0.0], [0.07692654105974445, 0.0], [0.3941271310891766, 0.0], [0.015677993822238084, 0.0]]
0.2100, [[0.0, 1.0], [1.0, 0.0], [0.979780140452724, 0.0], [0.6311641362502673, 0.0], [0.35507768226198727, 0.0], [0.1738745381433266, 0.0], [0.0, 0.0], [0.10783534456026617, 0.0], [0.0, 0.0], [0.0, 0.755709221902019]]
0.2075, [[1.0, 0.0], [0.0, 0.97485202790701], [0.8763584618444641, 0.0], [0.8763584618444641, 0.0], [0.8763584618444641, 0.0], [0.8518093814328141, 0.0], [0.5854351764394536, 0.0], [0.1738745381433266, 0.0], [0.09287356548921172, 0.0], [0.0843115217550797, 0.0]]
0.1966, [[0.0, 0.8859121696574218], [0.979780140452724, 0.0], [0.0, 0.0], [0.6311641362502673, 0.0], [0.3941271310891766, 0.0], [0.10857645832544088, 0.0], [0.07172130673258025, 0.0], [0.03685408382747627, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1100, [[0.0, 0.0], [1.0, 0.0], [0.0, 0.0], [0.6311641362502673, 0.0], [0.13139969906814522, 0.0], [0.10783534456026617, 0.0], [0.026948708747956872, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2040, [[0.9648361244077887, 0.0], [0.0, 0.759504610951007], [0.0, 0.7247657060518728], [0.0, 0.97485202790701], [0.0, 0.0], [0.0, 0.6248559077809785], [0.0, 0.0], [0.0, 0.8882588923327868], [0.0, 0.0], [0.0, 0.8408663230016304]]
0.1343, [[0.35507768226198727, 0.0], [0.0, 0.7247657060518728], [0.3451440505429299, 0.0], [0.0, 0.8882588923327868], [0.1738745381433266, 0.0], [0.09287356548921172, 0.0], [0.08877564231706919, 0.0], [0.08020487959746658, 0.0], [0.056576428966602296, 0.0], [0.042190102936740276, 0.0]]
0.1986, [[0.0, 0.8859121696574218], [1.0, 0.0], [0.9648361244077887, 0.0], [0.8936753453019453, 0.0], [0.8518093814328141, 0.0], [0.5854351764394536, 0.0], [0.13139969906814522, 0.0], [0.11441817859211213, 0.0], [0.10783534456026617, 0.0], [0.10744299021399721, 0.0]]
0.1882, [[0.8936753453019453, 0.0], [0.0, 0.8882588923327868], [0.0, 0.8859121696574218], [0.0, 0.8859121696574218], [0.0, 0.8184057636887625], [0.0, 0.7376334293948128], [0.0, 0.7247657060518728], [0.0, 0.0], [0.0, 0.0], [0.07172130673258025, 0.0]]
0.1802, [[0.9648361244077887, 0.0], [0.0, 0.7376334293948128], [0.9282712473113678, 0.0], [0.8905830446845395, 0.0], [0.10744299021399721, 0.0], [0.07172130673258025, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.1790, [[0.0, 0.7966723342939479], [0.8936753453019453, 0.0], [0.8763584618444641, 0.0], [0.8518093814328141, 0.0], [0.032192274691973596, 0.0], [0.0, 0.7957904899135471], [0.0, 0.7906181556195977], [0.0, 0.7885832853025927], [0.0, 0.759504610951007], [0.0, 0.755709221902019]]
0.2040, [[0.9648361244077887, 0.0], [0.0, 0.97485202790701], [0.0, 0.8859121696574218], [0.0, 0.7376334293948128], [0.0, 0.0], [0.8936753453019453, 0.0], [0.0, 0.0], [0.8905830446845395, 0.0], [0.0, 0.0], [0.7010420973091859, 0.0]]
0.1986, [[1.0, 0.0], [0.0, 0.0], [0.0, 0.7885832853025927], [0.0, 0.0], [0.0, 0.0], [0.0, 0.7957904899135471], [0.0, 0.0], [0.0, 0.6668123919308349], [0.0, 0.8859121696574218], [0.0, 0.7966723342939479]]
0.2075, [[0.0, 0.97485202790701], [1.0, 0.0], [0.0, 0.8184057636887625], [0.0, 0.7198429394812671], [0.3941271310891766, 0.0], [0.0, 0.6559755043227651], [0.3451440505429299, 0.0], [0.0, 0.6056273775216137], [0.13139969906814522, 0.0], [0.0, 0.0]]
0.1876, [[0.979780140452724, 0.0], [0.0, 0.7957904899135471], [0.0, 0.7885832853025927], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.755709221902019], [0.8936753453019453, 0.0]]
0.1969, [[0.8936753453019453, 0.0], [0.0, 0.97485202790701], [0.0, 0.8859121696574218], [0.0, 0.8184057636887625], [0.0, 0.7966723342939479], [0.0, 0.7906181556195977], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.759504610951007]]
0.2100, [[0.0, 1.0], [1.0, 0.0], [0.0, 0.8859121696574218], [0.0, 0.8184057636887625], [0.0, 0.8139463976945268], [0.0, 0.7906181556195977], [0.0, 0.7376334293948128], [0.0, 0.688387319884726], [0.979780140452724, 0.0], [0.0, 0.0]]
