HV,front
1.097027880287891,"[[0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.913668936731107, 0.5515067686312712], [0.9419636423550085, 0.27519687261785347], [0.7804951181316809, 0.5730794078020278], [0.7033476099461623, 0.6068022940367761], [0.6306893633864434, 0.6243941204674343], [0.6364896607330223, 0.6127715891046571]]"
1.097027880287891,"[[0.9763440246045691, 0.5748261381680702], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.7033476099461623, 0.6068022940367761], [0.913668936731107, 0.5515067686312712], [0.7263869836380628, 0.5851307020106548], [0.5894367321854775, 0.6089446461591338], [0.9419636423550085, 0.27519687261785347]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.5894367321854775, 0.6089446461591338], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.5944587613304497, 0.6088087920604914], [0.7263869836380628, 0.5851307020106548]]"
1.1091431753638155,"[[0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.9763440246045691, 0.5748261381680702], [0.6364896607330223, 0.6127715891046571], [0.7043214326896498, 0.5984126028527238], [0.7033476099461623, 0.6068022940367761], [0.6282622025257658, 0.6327822277023543], [0.6306893633864434, 0.6243941204674343], [0.913668936731107, 0.5515067686312712]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.6942241909199804, 0.6350770044681217], [0.7043214326896498, 0.5984126028527238], [0.7263869836380628, 0.5851307020106548], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712]]"
0.5484059337771937,"[[0.6311765922092297, 0.6362441312940368], [0.6324394152886743, 0.6192638310706307], [0.645923548821205, 0.5543324695567462], [0.6378129630392207, 0.6027791850833476], [0.6392219818053938, 0.5844555741536346], [0.6383624136596261, 0.596837060835195], [0.6364896607330223, 0.6127715891046571], [0.6282622025257658, 0.6327822277023543], [0.6306893633864434, 0.6243941204674343], [0.6339557523846859, 0.6088521678982642]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7043214326896498, 0.5984126028527238], [0.6378129630392207, 0.6027791850833476], [0.6306893633864434, 0.6243941204674343], [0.6364896607330223, 0.6127715891046571], [0.6282622025257658, 0.6327822277023543]]"
0.7905623929680992,"[[0.7961737000975918, 0.5863133028011686], [0.6324394152886743, 0.6192638310706307], [0.6311765922092297, 0.6362441312940368], [0.6364896607330223, 0.6127715891046571], [0.9999996704745167, 0.5789172350919402], [0.6627022829734, 0.604185244543736], [0.7263869836380628, 0.5851307020106548], [0.6306893633864434, 0.6243941204674343], [0.9763440246045691, 0.5748261381680702], [0.6383624136596261, 0.596837060835195]]"
0.7922883773063191,"[[0.7961737000975918, 0.5863133028011686], [0.6942241909199804, 0.6350770044681217], [0.7043214326896498, 0.5984126028527238], [0.9999996704745167, 0.5789172350919402], [0.7263869836380628, 0.5851307020106548], [0.6282622025257658, 0.6327822277023543], [0.6911722779028288, 0.5976107590651315], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.21058455666229933, 0.5946943431861145]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.7033476099461623, 0.6068022940367761], [0.6311765922092297, 0.6362441312940368], [0.6364896607330223, 0.6127715891046571], [0.7043214326896498, 0.5984126028527238], [0.7263869836380628, 0.5851307020106548]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.6251295708635932, 0.6087590804261901], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.622667137965057, 0.6217787767657673], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7263869836380628, 0.5851307020106548]]"
0.7802123710866996,"[[0.7263869836380628, 0.5851307020106548], [0.622667137965057, 0.6217787767657673], [0.6339557523846859, 0.6088521678982642], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.9999996704745167, 0.5789172350919402], [0.6378129630392207, 0.6027791850833476], [0.6392219818053938, 0.5844555741536346], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9881716827768011, 0.2958539217652958], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.6942241909199804, 0.6350770044681217], [0.7060304632152589, 0.5835318881251074], [0.7033476099461623, 0.6068022940367761], [0.913668936731107, 0.5515067686312712]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.6942241909199804, 0.6350770044681217], [0.7043214326896498, 0.5984126028527238], [0.913668936731107, 0.5515067686312712], [0.5894367321854775, 0.6089446461591338], [0.7804951181316809, 0.5730794078020278]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.5894367321854775, 0.6089446461591338], [0.7043214326896498, 0.5984126028527238], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.913668936731107, 0.5515067686312712], [0.5956542250326551, 0.5902088429283382]]"
1.108874482994812,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.9763440246045691, 0.5748261381680702], [0.6282622025257658, 0.6327822277023543], [0.6378129630392207, 0.6027791850833476], [0.6306893633864434, 0.6243941204674343], [0.6364896607330223, 0.6127715891046571], [0.6392219818053938, 0.5844555741536346], [0.6613894661367182, 0.5773147659391648], [0.6383624136596261, 0.596837060835195]]"
0.7914755570195282,"[[0.6324394152886743, 0.6192638310706307], [0.7043214326896498, 0.5984126028527238], [0.9999996704745167, 0.5789172350919402], [0.6364896607330223, 0.6127715891046571], [0.6311765922092297, 0.6362441312940368], [0.7033476099461623, 0.6068022940367761], [0.7961737000975918, 0.5863133028011686], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.6932379933920415, 0.5740470788795325]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.6942241909199804, 0.6350770044681217], [0.7263869836380628, 0.5851307020106548], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.913668936731107, 0.5515067686312712], [0.5944587613304497, 0.6088087920604914]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.6942241909199804, 0.6350770044681217], [0.7263869836380628, 0.5851307020106548], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.913668936731107, 0.5515067686312712]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.913668936731107, 0.5515067686312712], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.5894367321854775, 0.6089446461591338], [0.7033476099461623, 0.6068022940367761], [0.7263869836380628, 0.5851307020106548], [0.7804951181316809, 0.5730794078020278]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.5944587613304497, 0.6088087920604914], [0.7043214326896498, 0.5984126028527238], [0.5944587613304497, 0.6088087920604914], [0.7263869836380628, 0.5851307020106548], [0.913668936731107, 0.5515067686312712]]"
1.1091431753638155,"[[0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.6364896607330223, 0.6127715891046571], [0.6311765922092297, 0.6362441312940368], [0.7804951181316809, 0.5730794078020278], [0.913668936731107, 0.5515067686312712], [0.9881716827768011, 0.2958539217652958], [0.6305707784346314, 0.5618206410131514]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.5894367321854775, 0.6089446461591338], [0.6339557523846859, 0.6088521678982642], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.7060304632152589, 0.5835318881251074]]"
0.5483258578913305,"[[0.645923548821205, 0.5543324695567462], [0.6339557523846859, 0.6088521678982642], [0.6311765922092297, 0.6362441312940368], [0.6383624136596261, 0.596837060835195], [0.6324394152886743, 0.6192638310706307], [0.6282622025257658, 0.6327822277023543], [0.6306893633864434, 0.6243941204674343], [0.6344033827867759, 0.5918818587386149], [0.633629200613405, 0.5965786334421722], [0.6336581633429583, 0.4415400541624873]]"
1.1091431753638155,"[[0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.7263869836380628, 0.5851307020106548], [0.7043214326896498, 0.5984126028527238], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.6627022829734, 0.604185244543736]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.6364896607330223, 0.6127715891046571], [0.6311765922092297, 0.6362441312940368], [0.7033476099461623, 0.6068022940367761], [0.9763440246045691, 0.5748261381680702], [0.6627022829734, 0.604185244543736], [0.913668936731107, 0.5515067686312712], [0.7804951181316809, 0.5730794078020278]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.7804951181316809, 0.5730794078020278], [0.6311765922092297, 0.6362441312940368], [0.6942241909199804, 0.6350770044681217], [0.7033476099461623, 0.6068022940367761], [0.6911722779028288, 0.5976107590651315]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.6311765922092297, 0.6362441312940368], [0.6364896607330223, 0.6127715891046571], [0.7033476099461623, 0.6068022940367761], [0.7043214326896498, 0.5984126028527238], [0.7060304632152589, 0.5835318881251074]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7033476099461623, 0.6068022940367761], [0.7263869836380628, 0.5851307020106548], [0.5894367321854775, 0.6089446461591338], [0.7043214326896498, 0.5984126028527238], [0.913668936731107, 0.5515067686312712]]"
0.7889590717559397,"[[0.6364896607330223, 0.6127715891046571], [0.6324394152886743, 0.6192638310706307], [0.9999996704745167, 0.5789172350919402], [0.6383624136596261, 0.596837060835195], [0.6392219818053938, 0.5844555741536346], [0.6378129630392207, 0.6027791850833476], [0.6311765922092297, 0.6362441312940368], [0.9763440246045691, 0.5748261381680702], [0.6282622025257658, 0.6327822277023543], [0.6306893633864434, 0.6243941204674343]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.6942241909199804, 0.6350770044681217], [0.7263869836380628, 0.5851307020106548], [0.913668936731107, 0.5515067686312712], [0.7060304632152589, 0.5835318881251074], [0.7804951181316809, 0.5730794078020278]]"
0.7932065132161696,"[[0.9999996704745167, 0.5789172350919402], [0.6311765922092297, 0.6362441312940368], [0.6942241909199804, 0.6350770044681217], [0.7033476099461623, 0.6068022940367761], [0.7961737000975918, 0.5863133028011686], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.6306893633864434, 0.6243941204674343], [0.6627022829734, 0.604185244543736], [0.7263869836380628, 0.5851307020106548]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.6364896607330223, 0.6127715891046571], [0.7043214326896498, 0.5984126028527238], [0.6311765922092297, 0.6362441312940368], [0.7033476099461623, 0.6068022940367761], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7263869836380628, 0.5851307020106548]]"
0.5484059337771937,"[[0.6392219818053938, 0.5844555741536346], [0.6311765922092297, 0.6362441312940368], [0.6383624136596261, 0.596837060835195], [0.645923548821205, 0.5543324695567462], [0.6324394152886743, 0.6192638310706307], [0.6378129630392207, 0.6027791850833476], [0.6364896607330223, 0.6127715891046571], [0.6282622025257658, 0.6327822277023543], [0.6306893633864434, 0.6243941204674343], [0.6339557523846859, 0.6088521678982642]]"
0.7923649199744914,"[[0.7033476099461623, 0.6068022940367761], [0.6942241909199804, 0.6350770044681217], [0.7043214326896498, 0.5984126028527238], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.5894367321854775, 0.6089446461591338], [0.6627022829734, 0.604185244543736], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.7263869836380628, 0.5851307020106548]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.6942241909199804, 0.6350770044681217], [0.6311765922092297, 0.6362441312940368], [0.7043214326896498, 0.5984126028527238], [0.7033476099461623, 0.6068022940367761], [0.7263869836380628, 0.5851307020106548], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702]]"
0.7923531374009211,"[[0.7033476099461623, 0.6068022940367761], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.6942241909199804, 0.6350770044681217], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.7263869836380628, 0.5851307020106548], [0.5944587613304497, 0.6088087920604914], [0.5894367321854775, 0.6089446461591338], [0.6627022829734, 0.604185244543736]]"
1.1091431753638155,"[[0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.9763440246045691, 0.5748261381680702], [0.9881716827768011, 0.2958539217652958], [0.6311765922092297, 0.6362441312940368], [0.6942241909199804, 0.6350770044681217], [0.7043214326896498, 0.5984126028527238], [0.7263869836380628, 0.5851307020106548], [0.913668936731107, 0.5515067686312712]]"
1.108874482994812,"[[0.9999996704745167, 0.5789172350919402], [0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.913668936731107, 0.5515067686312712], [0.7804951181316809, 0.5730794078020278], [0.9881716827768011, 0.2958539217652958], [0.6364896607330223, 0.6127715891046571], [0.6392219818053938, 0.5844555741536346], [0.6311765922092297, 0.6362441312940368], [0.6383624136596261, 0.596837060835195]]"
1.1091431753638155,"[[0.9999996704745167, 0.5789172350919402], [0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9881716827768011, 0.2958539217652958], [0.913668936731107, 0.5515067686312712], [0.6311765922092297, 0.6362441312940368], [0.7043214326896498, 0.5984126028527238], [0.6942241909199804, 0.6350770044681217], [0.7033476099461623, 0.6068022940367761], [0.7804951181316809, 0.5730794078020278]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.6942241909199804, 0.6350770044681217], [0.7033476099461623, 0.6068022940367761], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.7263869836380628, 0.5851307020106548], [0.913668936731107, 0.5515067686312712], [0.6627022829734, 0.604185244543736]]"
1.1091431753638155,"[[0.7961737000975918, 0.5863133028011686], [0.7598446155668759, 1.0], [0.9999996704745167, 0.5789172350919402], [0.6364896607330223, 0.6127715891046571], [0.6324394152886743, 0.6192638310706307], [0.7033476099461623, 0.6068022940367761], [0.7263869836380628, 0.5851307020106548], [0.913668936731107, 0.5515067686312712], [0.7804951181316809, 0.5730794078020278], [0.9881716827768011, 0.2958539217652958]]"
0.5484059337771937,"[[0.6364896607330223, 0.6127715891046571], [0.6311765922092297, 0.6362441312940368], [0.645923548821205, 0.5543324695567462], [0.6392219818053938, 0.5844555741536346], [0.6378129630392207, 0.6027791850833476], [0.6378129630392207, 0.6027791850833476], [0.6383624136596261, 0.596837060835195], [0.6324394152886743, 0.6192638310706307], [0.6339557523846859, 0.6088521678982642], [0.6339557523846859, 0.6088521678982642]]"
0.5484059337771937,"[[0.6383624136596261, 0.596837060835195], [0.6324394152886743, 0.6192638310706307], [0.6364896607330223, 0.6127715891046571], [0.6311765922092297, 0.6362441312940368], [0.645923548821205, 0.5543324695567462], [0.6378129630392207, 0.6027791850833476], [0.6392219818053938, 0.5844555741536346], [0.6392219818053938, 0.5844555741536346], [0.6339557523846859, 0.6088521678982642], [0.6282622025257658, 0.6327822277023543]]"
0.7888286646714265,"[[0.7043214326896498, 0.5984126028527238], [0.9999996704745167, 0.5789172350919402], [0.7961737000975918, 0.5863133028011686], [0.7033476099461623, 0.6068022940367761], [0.6282622025257658, 0.6327822277023543], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.6911722779028288, 0.5976107590651315], [0.6378129630392207, 0.6027791850833476], [0.622667137965057, 0.6217787767657673]]"
1.1091431753638155,"[[0.7598446155668759, 1.0], [0.7961737000975918, 0.5863133028011686], [0.9999996704745167, 0.5789172350919402], [0.7033476099461623, 0.6068022940367761], [0.5894367321854775, 0.6089446461591338], [0.7043214326896498, 0.5984126028527238], [0.7060304632152589, 0.5835318881251074], [0.9881716827768011, 0.2958539217652958], [0.9763440246045691, 0.5748261381680702], [0.913668936731107, 0.5515067686312712]]"
