0.0648, [[0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.5291635322580395], [0.0, 1.0, 0.0], [0.0, 1.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 0.0, 0.21639483999996512], [0.15572521008404117, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0126, [[0.15572521008404117, 0.0, 0.0], [0.0, 1.0, 0.0], [0.16359579831931648, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0563, [[1.0, 0.0, 0.0], [0.41710000000000136, 0.0, 0.5043546290322243], [0.49436039823010514, 0.0, 0.0], [0.0, 1.0, 0.0], [0.05228319327732586, 0.0, 0.0], [0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 0.0, 0.2492402599999394], [0.0, 0.0, 0.027031727272735284], [0.19395378151260118, 0.0, 0.0], [0.16359579831931648, 0.0, 0.0]]
0.0634, [[0.0, 0.0, 0.5291635322580395], [0.6645192477876232, 0.0, 0.4698579516128721], [0.21644117647059058, 0.42475348623847275, 0.0], [0.15572521008404117, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.21639483999996512], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0728, [[1.0, 0.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.41710000000000136, 0.0, 0.5043546290322243], [0.21644117647059058, 0.42475348623847275, 0.0], [0.05228319327732586, 0.0, 0.0], [0.0, 0.0, 0.9941179999991903], [0.0, 0.0, 0.12987661999995853], [0.0, 0.0, 0.5291635322580395], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0]]
0.0622, [[1.0, 0.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.0, 0.0, 0.9941179999991903], [0.0, 0.0, 0.0], [0.0, 0.0, 0.12987661999995853], [0.15572521008404117, 0.0, 0.0], [0.0, 0.0, 0.027031727272735284], [0.19395378151260118, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 1.0, 0.0]]
0.0320, [[0.41710000000000136, 0.0, 0.5043546290322243], [0.05228319327732586, 0.0, 0.0], [0.0, 0.0, 0.4660904838709334], [0.49436039823010514, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0401, [[0.0, 0.0, 0.9941179999991903], [0.0, 1.0, 0.0], [0.0, 1.0, 0.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.0, 0.5291635322580395], [0.0, 0.0, 0.12987661999995853], [0.21644117647059058, 0.42475348623847275, 0.0], [0.19395378151260118, 0.0, 0.0], [0.15572521008404117, 0.0, 0.0]]
0.0040, [[0.05228319327732586, 0.0, 0.0], [0.0, 0.0, 0.2492402599999394], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.21639483999996512], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0634, [[0.21644117647059058, 0.42475348623847275, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5291635322580395], [0.0, 0.0, 0.12987661999995853], [0.0, 0.0, 0.4660904838709334], [0.0, 0.0, 0.21639483999996512]]
0.0648, [[0.41710000000000136, 0.0, 0.5043546290322243], [0.6645192477876232, 0.0, 0.4698579516128721], [0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.5291635322580395], [0.0, 0.0, 0.2492402599999394], [0.0, 0.0, 0.21639483999996512], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0]]
0.0728, [[0.0, 1.0, 0.0], [0.21644117647059058, 0.42475348623847275, 0.0], [1.0, 0.0, 0.0], [0.15572521008404117, 0.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.49436039823010514, 0.0, 0.0], [0.41710000000000136, 0.0, 0.5043546290322243], [0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.9941179999991903], [0.0, 0.0, 0.0]]
0.0728, [[0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 1.0, 0.0], [0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.0, 0.0, 0.9941179999991903], [0.05228319327732586, 0.0, 0.0], [0.0, 0.0, 0.027031727272735284], [0.0, 0.0, 0.0]]
0.0507, [[0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.5291635322580395], [0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 0.0, 0.4660904838709334], [0.15572521008404117, 0.0, 0.0], [0.0, 0.0, 0.21639483999996512], [0.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
0.0648, [[0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 1.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.5291635322580395], [0.6645192477876232, 0.0, 0.4698579516128721], [0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 0.0, 0.2492402599999394], [0.0, 0.0, 0.2492402599999394], [0.15572521008404117, 0.0, 0.0], [0.0, 0.0, 0.21639483999996512]]
0.0636, [[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.15572521008404117, 0.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.0], [0.0, 0.0, 0.9941179999991903], [0.0, 0.0, 0.5291635322580395], [0.0, 0.0, 0.2492402599999394], [0.0, 0.0, 0.21639483999996512]]
0.0564, [[1.0, 0.0, 0.0], [0.19395378151260118, 0.0, 0.0], [0.0, 0.42475348623847275, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.0, 0.0, 0.9941179999991903], [0.15572521008404117, 0.0, 0.0], [0.49436039823010514, 0.0, 0.0], [0.05228319327732586, 0.0, 0.0], [0.0, 0.0, 0.0], [0.16359579831931648, 0.0, 0.0]]
0.0728, [[0.21644117647059058, 0.42475348623847275, 0.0], [1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.6645192477876232, 0.0, 0.4698579516128721], [0.0, 0.0, 0.5291635322580395], [0.0, 0.0, 0.9941179999991903], [0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.4660904838709334], [0.0, 0.0, 0.12987661999995853], [0.49436039823010514, 0.0, 0.0]]
0.0507, [[0.21644117647059058, 0.42475348623847275, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 0.5291635322580395], [0.0, 1.0, 0.0], [0.41710000000000136, 0.0, 0.5043546290322243], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0]]
