mean:0.181241,,,,,,,,,,,,,,,,,,,,
0.0717, [[0.6052959989813419, 0.0], [0.6172937373865992, 0.0], [0.48510859876488416, 0.0], [0.42356543103075395, 0.0], [0.40445373506773324, 0.0], [0.289336890860615, 0.0], [0.3692251524020214, 0.0], [0.37085169492361647, 0.0], [0.24592071739958427, 0.0], [0.23021832613341908, 0.0]]
0.8399, [[0.9600274997283538, 0.6923581046090107], [0.7507977053771717, 0.0], [0.6737755829520902, 0.0], [0.6548962588549284, 0.0], [0.6538273912692748, 0.0], [0.6241873328266571, 0.0], [0.6118893507175643, 0.0], [0.6110126391023654, 0.0], [0.5924335587090389, 0.0], [0.5975737309186987, 0.0]]
0.0796, [[0.6961257242655876, 0.0], [0.6864698867502453, 0.0], [0.6929431410049338, 0.0], [0.6750245967600448, 0.0], [0.6796243303028012, 0.0], [0.6608891231834804, 0.0], [0.6611653473910089, 0.0], [0.595039674058329, 0.0], [0.601705084283472, 0.0], [0.5802185519661255, 0.0]]
0.0857, [[0.7572579074412762, 0.0], [0.6330024879712606, 0.0], [0.5930940948574764, 0.0], [0.6143273295927068, 0.0], [0.6026658641357449, 0.0], [0.5849386075696855, 0.0], [0.5790537749735684, 0.0], [0.2760117540490882, 0.0], [0.37510572921086427, 0.0], [0.2832686360685114, 0.0]]
0.0733, [[0.6329304294823401, 0.0], [0.5810853627512843, 0.0], [0.5770402457538765, 0.0], [0.5794126888142982, 0.0], [0.41330823640839864, 0.0], [0.5785842524649406, 0.0], [0.23997758126298785, 0.0], [0.4437291469550417, 0.0], [0.40629476999995073, 0.0], [0.02608723967327047, 0.0]]
0.0893, [[0.7927890187938506, 0.0], [0.6309368112888739, 0.0], [0.6195755895357472, 0.0], [0.6188910338910029, 0.0], [0.5961806001329031, 0.0], [0.5850379296388184, 0.0], [0.583338167864796, 0.0], [0.5883622540850326, 0.0], [0.5863085871507994, 0.0], [0.5827399781302463, 0.0]]
0.0763, [[0.6634592092883104, 0.0], [0.65824697858973, 0.0], [0.659532021642145, 0.0], [0.6419497503455516, 0.0], [0.621292983521685, 0.0], [0.6078540753380184, 0.0], [0.6195275505431337, 0.0], [0.5774059315538654, 0.0], [0.35859006668390153, 0.0], [0.5121981127675143, 0.0]]
0.5719, [[0.8968386482888324, 0.47029258731707485], [0.9305528278108774, 0.0], [0.8183875694728646, 0.0], [0.7002810971266678, 0.0], [0.6311649965037887, 0.0], [0.6148077195188432, 0.0], [0.6195275505431337, 0.0], [0.6204643108990997, 0.0], [0.6040469851733872, 0.0], [0.5972374579704032, 0.0]]
0.0796, [[0.6956453343394513, 0.0], [0.6163329575343264, 0.0], [0.6175819713422811, 0.0], [0.6051879112479611, 0.0], [0.5829228210302407, 0.0], [0.5842884994808164, 0.0], [0.5780560396427344, 0.0], [0.5722509188898495, 0.0], [0.5253483622833541, 0.0], [0.4659092344717579, 0.0]]
0.8496, [[0.99257076762628, 0.677638906266183], [0.8756814865288906, 0.0], [0.8653855394892241, 0.0], [0.8275933574142131, 0.0], [0.7380791825634662, 0.0], [0.6702687364912943, 0.0], [0.675144694241579, 0.0], [0.6767179712496758, 0.0], [0.6765498347755281, 0.0], [0.6638195017329127, 0.0]]
0.1086, [[0.9857471791960699, 0.0], [0.8774176658336187, 0.0], [0.7726816398693255, 0.0], [0.6958735195543659, 0.0], [0.6553766487810648, 0.0], [0.6698964342985384, 0.0], [0.66909178117226, 0.0], [0.6311770062519422, 0.0], [0.6588955049900143, 0.0], [0.6365453636765167, 0.0]]
