HV,front_sat,front_raw,front_variables
mean:0.19415744634254112,,,
0.20977534648723414,"[[0.0068732526283459905, 0.0], [0.0, 0.9868456953295524], [0.9776118529282427, 0.0], [0.0, 0.9986770898297711], [0.9746395655385267, 0.0], [0.0, 0.0], [0.9990763750425702, 0.0], [0.0, 0.7933719528590131], [0.9978039786001469, 0.0], [0.0, 0.0]]","[[696801.4, 25.706105], [464689.4, 97.72794], [1618646.8, 25.408769], [193344.0, 97.775394], [1613225.0, 25.474402], [690127.8, 25.838538], [1657800.6, 25.398637], [194263.2, 96.951945], [1655479.6, 25.388594], [269520.0, 70.018698]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 18.0]]"
0.20144440000334957,"[[0.0, 0.9160717464862503], [0.9983722535472455, 0.0], [0.0, 0.5710788792497095], [0.9717461108107757, 0.0], [0.0, 0.0], [0.003220672638577881, 0.0], [0.9957084989958733, 0.0], [0.011703039783238901, 0.0], [0.0, 0.0], [0.023345600319281297, 0.0]]","[[467856.2, 97.444076], [1656516.2, 25.399984], [482402.8, 94.261092], [1607947.0, 25.532025], [685274.8, 25.968257], [695605.6, 25.677801], [1651657.2, 25.428969], [698382.6, 25.607305], [693877.8, 25.692624], [702194.2, 25.558003]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 1.0, 18.0]]"
0.17255340136603048,"[[0.006985658501922849, 0.0], [0.0, 0.0], [0.9959593600954222, 0.0], [0.9717893097938274, 0.0], [0.0, 0.6276128276670562], [0.9716192549138447, 0.0], [0.997921185993249, 0.0], [0.9743518646970861, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[696838.2, 25.656108], [685071.6, 25.807076], [1652114.8, 25.425737], [1608025.8, 25.522362], [483216.6, 94.342896], [1607715.6, 25.522949], [1655693.4, 25.387102], [1612700.2, 25.471767], [686901.2, 25.684552], [268298.0, 70.168912]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 6.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 6.0, 2.0, 18.0]]"
0.17785930807582626,"[[0.0, 0.5942691043376286], [0.0, 0.0], [0.9967116144678019, 0.0], [0.0, 0.6800733586013614], [0.9985197221569015, 0.0], [0.0, 0.0], [0.0, 0.6581735304806615], [0.05918780145319629, 0.0], [0.0, 0.0], [2.1992453526161984e-05, 0.0]]","[[480469.2, 94.294648], [654026.6, 69.416993], [1653487.0, 25.427091], [85910.8, 95.259748], [1656785.2, 25.393674], [684732.2, 25.950708], [198846.4, 94.387117], [713928.4, 25.689287], [690028.0, 25.773656], [694558.4, 25.700589]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 7.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 5.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 1.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 1.0, 6.0]]"
0.18684639917533402,"[[0.0, 0.0], [0.0, 0.7697512995198623], [0.9987126922334777, 0.0], [0.0, 0.6585895717336182], [0.9717461108107757, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.012605952180776385, 0.0], [0.9959593600954222, 0.0]]","[[654653.6, 69.322295], [194050.0, 96.857206], [1657137.2, 25.397579], [199837.8, 94.398903], [1607947.0, 25.532025], [267776.0, 70.045664], [652183.2, 69.408379], [685055.2, 25.979642], [698678.2, 25.703391], [1652114.8, 25.425737]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 3.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 4.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 4.0, 6.0]]"
0.20832205989421465,"[[0.0, 0.9868456953295524], [0.0, 0.0], [0.9963749036125945, 0.0], [0.9718037825495706, 0.0], [0.0, 0.8693373143605417], [0.0, 0.0], [0.00420727853981141, 0.0], [0.028438075113512283, 0.0], [0.9744056989627672, 0.0], [0.006985658501922849, 0.0]]","[[464689.4, 97.72794], [652183.2, 69.408379], [1652872.8, 25.431214], [1608052.2, 25.535616], [467478.6, 97.256631], [689944.4, 25.850581], [695928.6, 25.709657], [703861.4, 25.564765], [1612798.4, 25.477394], [696838.2, 25.656108]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 8.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 1.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 3.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 5.0, 3.0, 6.0]]"
0.17367459977504884,"[[0.0, 0.0], [0.9726527412444163, 0.0], [0.0, 0.6640932565060724], [0.0, 0.0], [0.0, 0.0], [0.013168592450148786, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]","[[266962.0, 69.926119], [1609600.8, 25.412592], [87959.8, 94.619433], [684623.6, 25.970731], [288557.4, 26.953068], [698862.4, 25.706202], [397085.0, 26.002378], [291700.8, 26.527904], [290457.0, 26.637097], [685274.8, 25.968257]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 6.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 7.0, 4.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 3.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.0, 1.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 8.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 9.0, 4.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 2.0, 2.0]]"
0.19858597347459753,"[[0.023098796118601425, 0.0], [0.010933303909830697, 0.0], [0.998229060979059, 0.0], [0.0, 0.0], [0.0, 0.8876306737669161], [0.9746196106783354, 0.0], [0.033021668969212006, 0.0], [0.01981397882390619, 0.0], [0.0, 0.0], [0.0, 0.5236080026879812]]","[[702113.4, 25.531626], [698130.6, 25.669986], [1656255.0, 25.396695], [690115.0, 25.846728], [466346.6, 97.330003], [1613188.6, 25.472026], [705362.0, 25.516034], [701038.0, 25.539528], [654653.6, 69.322295], [200565.2, 94.017158]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 4.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 6.0, 4.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 1.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 7.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 2.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4.0, 1.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 4.0, 1.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 4.0, 3.0, 18.0]]"
0.20719422605079318,"[[0.0, 0.6490539032825315], [0.0, 0.0], [0.9716810930520201, 0.0], [0.0, 1.0], [0.0, 0.0], [0.05918780145319629, 0.0], [0.9719422605079318, 0.0], [0.0, 0.0], [0.002293935083053808, 0.0], [0.0, 0.0]]","[[482264.0, 94.373921], [653805.4, 69.361961], [1607828.4, 25.529737], [191563.6, 97.780726], [651860.0, 69.525332], [713928.4, 25.689287], [1608304.8, 25.512464], [684993.4, 25.756943], [695302.2, 25.714315], [652183.2, 69.408379]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 3.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 9.0, 2.0, 18.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 4.0, 4.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 9.0, 2.0, 18.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 7.0, 3.0, 6.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 8.0, 2.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 5.0, 4.0, 2.0], [0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 7.0, 3.0, 6.0], [1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 9.0, 2.0, 18.0]]"
