1.2840, [[0.9386319659085074, 1.0, 0.0], [1.0, 0.9523463377540602, 0.0], [0.9946948604226454, 0.9795770018945978, 0.0], [0.9383997792267803, 0.9863846679297292, 0.0], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9306073676644246, 0.9795770018945978, 0.0], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9937547091051396, 0.965961669824331, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789]]
1.0540, [[0.9937547091051396, 0.965961669824331, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9321647173589361, 0.9591540037891956, 0.5341599999997602], [0.9860991912340203, 0.7260533404489138, 0.0], [0.945515992695017, 0.7282902855591525, 0.0], [0.9449190712235847, 0.7260533404489138, 0.0], [0.9306753247420033, 0.9183080075783912, 0.0], [0.9385866611901217, 1.0, 0.0]]
1.2847, [[0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9377315346305899, 1.0, 0.0], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9983136968432038, 0.8842696774027221, 0.0], [0.9383997792267803, 0.9863846679297292, 0.0], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9937547091051396, 0.965961669824331, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975]]
1.2835, [[0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9386319659085074, 1.0, 0.0], [1.0, 0.9523463377540602, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9385866611901217, 1.0, 0.0], [0.9383997792267803, 0.9863846679297292, 0.0], [0.9379240796837295, 1.0, 0.0]]
1.2834, [[1.0, 0.9523463377540602, 0.0], [1.0, 0.9523463377540602, 0.0], [0.9983136968432038, 0.8842696774027221, 0.0], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9944411687972868, 0.9795770018945978, 0.0], [0.9937547091051396, 0.965961669824331, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9385866611901217, 1.0, 0.0]]
1.2848, [[1.0, 0.9523463377540602, 0.0], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9385866611901217, 1.0, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9937547091051396, 0.965961669824331, 0.0], [0.9379240796837295, 1.0, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9442176884946517, 0.9727693358594625, 0.0812575443038174]]
1.1071, [[0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9377315346305899, 1.0, 0.0], [0.9944411687972868, 0.9795770018945978, 0.0], [0.9383997792267803, 0.9863846679297292, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9473515262196712, 0.9727693358594625, 0.0], [0.9926504043829898, 0.8706543453324552, 0.0], [0.9926504043829898, 0.8706543453324552, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9600734150795721, 0.7481163567000458, 0.0]]
1.2396, [[1.0, 0.9523463377540602, 0.0], [0.9386319659085074, 1.0, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9377315346305899, 1.0, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9983136968432038, 0.8842696774027221, 0.0], [0.9946948604226454, 0.9795770018945978, 0.0], [0.9349905991682497, 0.965961669824331, 0.8354004566210037]]
1.2818, [[0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9932025567440648, 0.965961669824331, 0.0], [0.9349905991682497, 0.965961669824331, 0.8354004566210037], [0.9473515262196712, 0.9727693358594625, 0.0], [0.9338070134004209, 0.9591540037891956, 0.6899233333329899]]
1.2806, [[1.0, 0.9523463377540602, 0.0], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9944411687972868, 0.9795770018945978, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9467919123402034, 0.7282902855591525, 0.0], [0.9349905991682497, 0.965961669824331, 0.8354004566210037], [0.9386319659085074, 1.0, 0.0], [0.9462472214975215, 0.7320185274095505, 0.0]]
1.2705, [[1.0, 0.9523463377540602, 0.0], [0.9379240796837295, 1.0, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9383997792267803, 0.9863846679297292, 0.0], [0.9946948604226454, 0.9795770018945978, 0.0], [0.9946948604226454, 0.9795770018945978, 0.0], [0.9944411687972868, 0.9795770018945978, 0.0], [0.9937547091051396, 0.965961669824331, 0.0], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956]]
1.2835, [[0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9937547091051396, 0.965961669824331, 0.0], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9948440907905036, 0.9863846679297292, 0.0], [1.0, 0.9523463377540602, 0.0], [0.9442176884946517, 0.9727693358594625, 0.0812575443038174], [0.9442176884946517, 0.9727693358594625, 0.0812575443038174], [0.9386319659085074, 1.0, 0.0]]
1.2848, [[0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [1.0, 0.9523463377540602, 0.0], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9390000667453919, 0.9727693358594625, 0.8376479452054789], [0.9377315346305899, 1.0, 0.0], [0.9379240796837295, 1.0, 0.0], [0.9385866611901217, 1.0, 0.0]]
1.2766, [[1.0, 0.9523463377540602, 0.0], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9948440907905036, 0.9863846679297292, 0.0], [0.994493399426037, 0.8978850094729929, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9339938953637623, 0.7290359339292323, 0.0], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9470306809287764, 0.8978850094729929, 0.0]]
1.2780, [[0.9377315346305899, 1.0, 0.0], [1.0, 0.9523463377540602, 0.0], [0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9484259848682494, 0.9387310056837934, 0.9999425054944975], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9937547091051396, 0.965961669824331, 0.0], [0.9459189146882337, 0.9727693358594625, 0.3606001139239956], [0.9442176884946517, 0.9727693358594625, 0.0812575443038174]]
1.0951, [[0.9993359248630317, 0.9455386717189287, 0.8355347031963463], [0.9377315346305899, 1.0, 0.0], [0.9978436211844508, 0.9591540037891956, 0.8367639269406385], [0.9385866611901217, 1.0, 0.0], [0.9932025567440648, 0.965961669824331, 0.0], [0.9338070134004209, 0.9591540037891956, 0.6899233333329899], [0.9948440907905036, 0.9863846679297292, 0.0], [0.9473515262196712, 0.9727693358594625, 0.0], [0.9944411687972868, 0.9795770018945978, 0.0], [0.9926504043829898, 0.8706543453324552, 0.0]]
