0.4096, [[0.8526404438280157, 0.3207], [0.0, 0.3681808770270271], [0.0, 0.4085263256756756], [0.5645165975444503, 0.0], [0.0, 0.3207], [0.003031883978657372, 0.0], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207]]
0.4945, [[0.33008560005051785, 0.3944421050675677], [0.9999979472954224, 0.3207], [0.0035508551101381216, 0.37723713581081075], [0.8526404438280157, 0.3207], [0.0, 0.3207], [0.7369390848524782, 0.0], [0.6187633917362589, 0.0], [0.5659723984724675, 0.0], [0.0, 0.3207], [0.7119366049888107, 0.0]]
0.0509, [[0.0, 0.3770424895270272], [0.0, 0.4085263256756756], [0.0, 0.3207], [0.0, 0.3369253297297296], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.0]]
0.4715, [[0.9999979472954224, 0.3207], [0.0, 0.40763319560810807], [0.0, 0.3207], [0.0, 0.0], [0.0, 0.36096454628378366], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.0], [0.0, 0.3207], [0.0, 0.0]]
0.0932, [[0.0, 0.8321370661664391], [0.0, 0.5100940381756758], [0.0, 0.4929002831081081], [0.0, 0.43368535912162154], [0.0, 0.4079183564189189], [0.0, 0.3679934398648647], [0.0, 0.32241416891891894], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207]]
0.1245, [[0.7369390848524782, 0.0], [0.0, 0.4085263256756756], [0.6187633917362589, 0.0], [0.0, 0.3679934398648647], [0.5984752589924128, 0.0], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207]]
0.0460, [[0.039520597156299214, 0.0], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.3207], [0.0, 0.0], [0.0, 0.3207]]
0.4271, [[0.0, 0.5100940381756758], [0.8526404438280157, 0.3207], [0.9263181692094302, 0.0], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.0], [0.7358075759572442, 0.0], [0.0, 0.0]]
0.4339, [[0.8526404438280157, 0.3207], [0.0, 0.4085263256756756], [0.0, 0.4079183564189189], [0.33008560005051785, 0.3944421050675677], [0.33008560005051785, 0.3944421050675677], [0.7163585906882811, 0.0], [0.0, 0.3289288118243243], [0.2571344374164624, 0.3207], [0.6546339577533977, 0.0], [0.0, 0.3207]]
0.4008, [[0.027867909321489942, 0.3207], [0.8526404438280157, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.7369390848524782, 0.0], [0.5984752589924128, 0.0], [0.5547982121299223, 0.0], [0.5543169244035643, 0.3207]]
0.7361, [[0.9263181692094302, 0.0], [0.5334300948548433, 1.0], [0.5644794243009074, 0.0], [0.0, 0.40763319560810807], [0.49633810707557563, 0.3207], [0.0, 0.3207], [0.2571344374164624, 0.3207], [0.10695007503920342, 0.0], [0.0, 0.3207], [0.0, 0.0]]
0.8384, [[0.9263181692094302, 0.0], [0.5334300948548433, 1.0], [0.8526404438280157, 0.3207], [0.33008560005051785, 0.3944421050675677], [0.7369390848524782, 0.0], [0.0, 0.4085263256756756], [0.24222819979582572, 0.3340152476351352], [0.7119366049888107, 0.0], [0.3494451142427151, 0.3207], [0.5543169244035643, 0.3207]]
0.0965, [[0.0, 0.8650271487039561], [0.0, 0.0], [0.0, 0.5100940381756758], [0.0, 0.4763665631756757], [0.0, 0.4763665631756757], [0.0, 0.43368535912162154], [0.0, 0.3289288118243243], [0.0, 0.32241416891891894], [0.0, 0.3207], [0.0, 0.3207]]
0.1675, [[0.2571344374164624, 0.3207], [0.0, 0.4929002831081081], [0.0, 0.3207], [0.0, 0.32241416891891894], [0.0, 0.32241416891891894], [0.0, 0.3272298621621621], [0.0, 0.0], [0.0, 0.0], [0.0, 0.3207], [0.0, 0.3207]]
0.4628, [[0.0, 0.3207], [0.9999979472954224, 0.3207], [0.0, 0.3207], [0.06546179988844103, 0.3207], [0.0, 0.3207], [0.0, 0.3207], [0.0, 0.08585799264705998], [0.0, 0.0], [0.5547982121299223, 0.0], [0.0, 0.0]]
0.6619, [[0.2642508553206269, 0.853938770122783], [0.9999979472954224, 0.3207], [0.7163585906882811, 0.0], [0.6187633917362589, 0.0], [0.2571344374164624, 0.3207], [0.003031883978657372, 0.0], [0.003031883978657372, 0.0], [0.33008560005051785, 0.3944421050675677], [0.5691590218864204, 0.3207], [0.0035508551101381216, 0.37723713581081075]]
0.4260, [[0.8526404438280157, 0.3207], [0.0, 0.5100940381756758], [0.3371127213025044, 0.3392867175675674], [0.7358075759572442, 0.0], [0.0, 0.4763665631756757], [0.6187633917362589, 0.0], [0.0, 0.4085263256756756], [0.5984752589924128, 0.0], [0.0, 0.40763319560810807], [0.0, 0.3369253297297296]]
0.4686, [[0.0035508551101381216, 0.37723713581081075], [0.9999979472954224, 0.3207], [0.7369390848524782, 0.0], [0.42044540766389177, 0.0], [0.7358075759572442, 0.0], [0.2571344374164624, 0.3207], [0.5587553492382867, 0.0], [0.7119366049888107, 0.0], [0.0, 0.3207], [0.5005378187492301, 0.0]]
0.4519, [[0.8526404438280157, 0.3207], [0.0, 0.8321370661664391], [0.6187633917362589, 0.0], [0.0, 0.4929002831081081], [0.2571344374164624, 0.3207], [0.0, 0.4763665631756757], [0.0, 0.0], [0.0, 0.0], [0.0, 0.3207], [0.0, 0.33131342905405387]]
